Question,AnswerFormat,Solution
The ancient Romans were conquered by the ancient Greeks.,Binary,FALSE
There is no species of three-humped camels.,Binary,TRUE
A gallon of oil weighs less than a gallon of water.,Binary,TRUE
Mars is always farther away from Earth than Venus.,Binary,FALSE
The Boston Red Sox won the first World Series.,Binary,TRUE
Napoleon was born on the island of corsica.,Binary,TRUE
M is one of the three most commonly used letters.,Binary,FALSE
"In 2002 the price of the average new desktop computer purchased was under $1,500.00.",Binary,TRUE
Lyndon B. Johnson was a governor before becoming vice president.,Binary,FALSE
A kilogram is more than a pound.,Binary,TRUE